Timestamp,Symbol,Side,Price,Quantity,PnL
65,BTCUSDT,SELL,95959.7,0.01,2.5142
66,BTCUSDT,BUY,96253.5,0.01,2.9384
67,BTCUSDT,SELL,96022.7,0.01,2.3082
68,BTCUSDT,BUY,96163,0.01,1.4036
69,BTCUSDT,SELL,96030.6,0.01,1.3247
70,BTCUSDT,BUY,96096.9,0.01,0.663
71,BTCUSDT,SELL,96047.3,0.01,0.4953
72,BTCUSDT,BUY,96230.1,0.01,1.8271
73,BTCUSDT,SELL,96080.3,0.01,1.4979
74,BTCUSDT,SELL,95842.1,0.01,2.3811
75,BTCUSDT,BUY,95961.1,0.01,1.1899
76,BTCUSDT,BUY,96368.1,0.01,4.0694
77,BTCUSDT,BUY,96441.9,0.01,0.7378
78,BTCUSDT,BUY,96740.3,0.01,2.9841
79,BTCUSDT,SELL,96466.4,0.01,2.7386
80,BTCUSDT,BUY,96503.6,0.01,0.3722
81,BTCUSDT,SELL,96414.7,0.01,0.8893
82,BTCUSDT,BUY,96444.8,0.01,0.3005
83,BTCUSDT,SELL,96395.9,0.01,0.4882
84,BTCUSDT,BUY,96990,0.01,5.9407
85,BTCUSDT,SELL,96687.8,0.01,3.0218
86,BTCUSDT,BUY,97220.4,0.01,5.3262
87,BTCUSDT,BUY,97243.6,0.01,0.2316
88,BTCUSDT,SELL,97021.7,0.01,2.2186
89,BTCUSDT,SELL,96824.2,0.01,1.9749
90,BTCUSDT,BUY,97054.1,0.01,2.2982
91,BTCUSDT,BUY,97179.5,0.01,1.254
92,BTCUSDT,SELL,96920,0.01,2.5946
93,BTCUSDT,SELL,96776.6,0.01,1.4342
94,BTCUSDT,SELL,96591.2,0.01,1.8536
95,BTCUSDT,SELL,96530,0.01,0.6121
96,BTCUSDT,SELL,95900.2,0.01,6.2985
97,BTCUSDT,BUY,96144.6,0.01,2.4444
98,BTCUSDT,BUY,96571.9,0.01,4.2724
99,BTCUSDT,SELL,96477,0.01,0.9485
100,BTCUSDT,SELL,96212.6,0.01,2.6438
101,BTCUSDT,SELL,96131.2,0.01,0.8137
102,BTCUSDT,SELL,96064.7,0.01,0.6654
103,BTCUSDT,BUY,96293.9,0.01,2.2916
104,BTCUSDT,SELL,95269.4,0.01,10.2448
105,BTCUSDT,BUY,95843.2,0.01,5.7384
106,BTCUSDT,SELL,93408.5,0.01,24.3473
107,BTCUSDT,BUY,96705.9,0.01,32.9735
108,BTCUSDT,SELL,95563.7,0.01,11.4217
